,Model,No_arctic_crossing_year,World_crossing_year,gap
0,ACCESS-CM2,2038.08,2033.709,4.370999999999867
1,ACCESS-ESM1-5,2047.225,2041.581,5.6440000000000055
2,AWI-CM-1-1-MR,2073.671,2061.401,12.269999999999982
3,BCC-CSM2-MR,2053.348,2047.496,5.851999999999862
4,CAMS-CSM1-0,2059.359,2054.15,5.208999999999833
5,CAS-ESM2-0,2043.986,2041.002,2.984000000000151
6,CESM2,2046.878,2042.726,4.151999999999816
7,CESM2-WACCM,2050.284,2046.848,3.436000000000149
8,CIESM,2063.902,2054.708,9.19399999999996
9,CMCC-CM2-SR5,2059.721,2053.578,6.143000000000029
10,CMCC-ESM2,2049.612,2045.593,4.0190000000000055
11,CNRM-CM6-1,2049.121,2045.623,3.4980000000000473
12,CNRM-CM6-1-HR,2051.675,2047.461,4.214000000000169
13,CNRM-ESM2-1,2052.229,2051.173,1.05600000000004
14,CanESM5,2061.99,2052.164,9.825999999999567
15,CanESM5-CanOE,2060.145,2050.026,10.119000000000142
16,EC-Earth3,2063.703,2058.001,5.701999999999771
17,EC-Earth3-CC,2084.06,2076.701,7.358999999999924
18,EC-Earth3-Veg,2072.307,2064.394,7.913000000000011
19,FGOALS-f3-L,2067.867,2056.384,11.483000000000175
20,FGOALS-g3,2110.153,2086.939,23.213999999999942
21,FIO-ESM-2-0,2072.943,2061.244,11.69900000000007
22,GFDL-CM4,2050.563,2043.887,6.676000000000158
23,GFDL-ESM4,2062.019,2052.826,9.192999999999756
24,GISS-E2-1-G,2036.904,2032.233,4.671000000000049
25,HadGEM3-GC31-LL,2047.078,2041.04,6.038000000000011
26,IITM-ESM,2083.516,2063.321,20.195000000000164
27,INM-CM4-8,2070.09,2055.128,14.961999999999989
28,INM-CM5-0,2074.165,2065.047,9.117999999999938
29,IPSL-CM6A-LR,2057.462,2051.628,5.833999999999833
30,KACE-1-0-G,2055.334,2046.785,8.54899999999975
31,KIOST-ESM,2116.494,2075.567,40.927000000000135
32,MCM-UA-1-0,2070.842,2063.451,7.391000000000076
33,MIROC-ES2L,2054.529,2046.222,8.307000000000016
34,MIROC6,2049.85,2041.346,8.503999999999905
35,MPI-ESM1-2-HR,2072.863,2065.446,7.416999999999916
36,MPI-ESM1-2-LR,2071.886,2057.832,14.054000000000087
37,MRI-ESM2-0,2045.798,2042.01,3.788000000000011
38,NESM3,2049.862,2045.149,4.713000000000193
39,NorESM2-LM,2055.859,2052.132,3.7269999999998618
40,NorESM2-MM,2052.058,2046.529,5.528999999999996
41,TaiESM1,2032.431,2030.616,1.8150000000000546
42,UKESM1-0-LL,2038.34,2032.685,5.654999999999973
