,Model,base_t_bnds,no_arctic_base_tas,world_base_tas
0,ACCESS-CM2,1850-1900,288.19518088751096,286.9189152186523
1,ACCESS-ESM1-5,1850-1900,288.93168129544495,287.6726128195099
2,AWI-CM-1-1-MR,1850-1900,288.005519292451,286.85360308255275
3,AWI-ESM-1-1-LR,1850-1900,287.2993199742564,286.06660848795076
4,BCC-CSM2-MR,1850-1900,289.0285534834778,287.75002591280463
5,BCC-ESM1,1850-1900,289.2551583207417,288.02136319488085
6,CAMS-CSM1-0,1850-1900,288.29646768679913,287.0065536758004
7,CAS-ESM2-0,1850-1900,288.37559862489405,287.18066987654487
8,CESM2,1850-1900,288.3931466085427,287.18929199914754
9,CESM2-FV2,1850-1900,288.3490843855042,287.15844336240735
10,CESM2-WACCM,1850-1900,288.2059398791827,286.9819589884815
11,CESM2-WACCM-FV2,1850-1900,288.53584287912025,287.3449661096158
12,CIESM,1850-1900,288.54463430218686,287.4225906659974
13,CMCC-CM2-HR4,1850-1900,288.46884120618455,287.2627689956167
14,CMCC-CM2-SR5,1850-1900,288.288561459491,287.1982614291623
15,CMCC-ESM2,1850-1900,288.2084980033049,287.0953313648427
16,CNRM-CM6-1,1850-1900,287.30553056283634,286.03932101749274
17,CNRM-CM6-1-HR,1850-1900,286.7638619050275,285.51757224128386
18,CNRM-ESM2-1,1850-1900,287.97145559217915,286.7292221981052
19,CanESM5,1850-1900,287.70464883930975,286.548812691536
20,CanESM5-CanOE,1850-1900,287.670412132234,286.50971744973657
21,E3SM-1-0,1850-1900,288.0592137306945,286.96585530753
22,E3SM-1-1,1850-1900,287.978419323694,286.8771153613506
23,E3SM-1-1-ECA,1850-1900,287.8246411706274,286.672665942784
24,EC-Earth3,1850-1900,288.2727104951491,286.98851166416836
25,EC-Earth3-AerChem,1850-1900,288.52899993085333,287.32238853850237
26,EC-Earth3-CC,1850-1900,288.4370892689363,287.1129771402798
27,EC-Earth3-Veg,1850-1900,288.125481306019,286.8203005261341
28,EC-Earth3-Veg-LR,1850-1900,287.96940922273893,286.68129283164785
29,FGOALS-f3-L,1850-1900,287.2418984299911,285.93283622171447
30,FGOALS-g3,1850-1900,288.25598126306556,287.1529541218779
31,FIO-ESM-2-0,1850-1900,287.6558493533363,286.41305463894116
32,GFDL-CM4,1850-1900,287.1256748014472,285.90924280996074
33,GFDL-ESM4,1850-1900,287.7114500925287,286.54989927854996
34,GISS-E2-1-G,1850-1900,288.33832342859466,287.0064025982999
35,GISS-E2-1-G-CC,1850-1900,288.2522245464895,286.8881907094392
36,GISS-E2-1-H,1850-1900,288.6141445034722,287.31519175384904
37,GISS-E2-2-H,1850-1900,286.7989375170956,285.3870777371717
38,HadGEM3-GC31-LL,1850-1900,288.02115204635925,286.77837138883456
39,HadGEM3-GC31-MM,1850-1900,288.32181097706956,287.07909412369304
40,IITM-ESM,1850-1900,288.4294586124764,287.2420323107183
41,INM-CM4-8,1850-1900,287.7614609012882,286.4776377992944
42,INM-CM5-0,1850-1900,287.494942408099,286.27149952233617
43,IPSL-CM5A2-INCA,1850-1900,287.0351097959184,285.88237530612247
44,IPSL-CM6A-LR,1850-1900,287.049440755102,285.9349595510204
45,IPSL-CM6A-LR-INCA,1850-1900,287.2186169387755,286.12971061224493
46,KACE-1-0-G,1850-1900,288.00040944973176,286.71610924235347
47,KIOST-ESM,1850-1900,287.1422971918134,285.8741360521903
48,MCM-UA-1-0,1850-1900,287.57599751271886,286.5138137124214
49,MIROC-ES2L,1850-1900,289.31043044749003,288.1658431430327
50,MIROC6,1850-1900,289.6513688745499,288.40920905520596
51,MPI-ESM-1-2-HAM,1850-1900,288.23827380096196,286.9370756614507
52,MPI-ESM1-2-HR,1850-1900,288.2181934287835,287.04913265851525
53,MPI-ESM1-2-LR,1850-1900,287.902292219231,286.64928277634874
54,MRI-ESM2-0,1850-1900,288.0670607654671,286.9577087899494
55,NESM3,1850-1900,288.28253702866294,286.9415543002388
56,NorCPM1,1850-1900,286.8618929538155,285.5971161476915
57,NorESM2-LM,1850-1900,288.8888809194562,287.7110129656824
58,NorESM2-MM,1850-1900,288.3096366201541,287.03050160139463
59,SAM0-UNICON,1850-1900,287.5594649229402,286.2263401744802
60,TaiESM1,1850-1900,288.37278739307254,287.0850057279414
61,UKESM1-0-LL,1850-1900,287.77985744751976,286.5134741547166
62,UKESM1-1-LL,1850-1900,288.21271242711987,286.9607266339405
